,Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Semifinal,Final,Category,Quali_Tops,Quali_Zones,Quali_Atempts_Tops,Quali_Attempts_Zones,semi_Tops,semi_Zones,semi_Atempts_Tops,semi_Attempts_Zones,Finals_Tops,Finals_Zones,Final_Atempts_Tops,Final_Attempts_Zones
19,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Nika,POTAPOVA,UKR,49.0,20,5T7z1114,0T1z06,,boulder,5,7,1,14,0,1,0,6,0,0,0,0
20,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Daria,NESTERENKO,UKR,51.0,21,4T5z69,,,boulder,4,5,6,9,0,0,0,0,0,0,0,0
21,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Iana,GULSTEN,RUS,40.0,22,4T5z99,,,boulder,4,5,9,9,0,0,0,0,0,0,0,0
22,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Joëlle,NIEDERBERGER,SUI,45.0,22,4T5z99,,,boulder,4,5,9,9,0,0,0,0,0,0,0,0
23,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Elena,MATIAK-IABLUCHKINA,RUS,38.0,24,4T5z109,,,boulder,4,5,1,9,0,0,0,0,0,0,0,0
24,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ingrid,KINDLIHAGEN,NOR,34.0,25,4T4z115,,,boulder,4,4,1,5,0,0,0,0,0,0,0,0
25,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Eliška,BULENOVÁ,CZE,10.0,26,3T6z57,,,boulder,3,6,5,7,0,0,0,0,0,0,0,0
26,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Michaela,SMETANOVA,CZE,11.0,27,3T6z1210,,,boulder,3,6,1,10,0,0,0,0,0,0,0,0
27,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Vana,PICCINI,CRO,7.0,28,3T5z78,,,boulder,3,5,7,8,0,0,0,0,0,0,0,0
28,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Caterina,DAL ZOTTO,ITA,30.0,29,3T5z98,,,boulder,3,5,9,8,0,0,0,0,0,0,0,0
29,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Tereza,ŠIRŮČKOVÁ,CZE,9.0,30,3T4z1013,,,boulder,3,4,1,13,0,0,0,0,0,0,0,0
